05 01 2025 16H, 14M, 03S alert_knife_detected_05D, 01M, 2025Y_16H, 14M, 03S.jpg
06 01 2025 00H, 21M, 27S alert_knife_detected_06D, 01M, 2025Y_00H, 21M, 27S.jpg
06 01 2025 22H, 16M, 41S alert_knife_detected_06D, 01M, 2025Y_22H, 16M, 41S.jpg
06 01 2025 22H, 24M, 48S alert_knife_detected_06D, 01M, 2025Y_22H, 24M, 48S.jpg
07 01 2025 02H, 00M, 48S alert_knife_detected_07D, 01M, 2025Y_02H, 00M, 48S.jpg
11 01 2025 13H, 16M, 13S alert_knife_detected_11D, 01M, 2025Y_13H, 16M, 13S.jpg
11 01 2025 13H, 20M, 20S alert_knife_detected_11D, 01M, 2025Y_13H, 20M, 20S.jpg
11 01 2025 13H, 26M, 38S alert_knife_detected_11D, 01M, 2025Y_13H, 26M, 38S.jpg
11 01 2025 13H, 38M, 47S alert_knife_detected_11D, 01M, 2025Y_13H, 38M, 47S.jpg
11 01 2025 13H, 49M, 58S alert_knife_detected_11D, 01M, 2025Y_13H, 49M, 58S.jpg
11 01 2025 14H, 45M, 16S alert_knife_detected_11D, 01M, 2025Y_14H, 45M, 16S.jpg
11 01 2025 14H, 54M, 09S alert_knife_detected_11D, 01M, 2025Y_14H, 54M, 09S.jpg
11 01 2025 15H, 17M, 07S alert_knife_detected_11D, 01M, 2025Y_15H, 17M, 07S.jpg
11 01 2025 15H, 22M, 03S alert_knife_detected_11D, 01M, 2025Y_15H, 22M, 03S.jpg
11 01 2025 15H, 25M, 31S alert_knife_detected_11D, 01M, 2025Y_15H, 25M, 31S.jpg
15 01 2025 02H, 33M, 59S alert_knife_detected_15D, 01M, 2025Y_02H, 33M, 59S.jpg
25 01 2025 17H, 00M, 14S alert_knife_detected_25D, 01M, 2025Y_17H, 00M, 14S.jpg
